,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,upright,width,x0,x1,y0,y1,type
0,0.534,52.162,0,51.202,Arial,0.960,0.2,char,1,0.960,0.2,0,51.202,True,0.534,504.940,505.474,789.758,790.718,para
1,6.643,54.052,1,44.092,Arial,9.960,0.2,char,1,9.960,0.2,B,44.092,True,6.643,498.340,504.983,787.868,797.828,para
2,15.960,173.510,2,157.550,ABCDEE+黑体,15.960,0,char,1,15.960,0,开远市兴远开发投资集团有限公司,157.550,True,15.960,177.140,193.100,668.410,684.370,para
3,14.040,203.840,3,189.800,ABCDEE+黑体,14.040,0,char,1,14.040,0,公司债券年度报告,189.800,True,14.040,241.490,255.530,638.080,652.120,para
4,14.040,235.040,4,221.000,ABCDEE+宋体,14.040,0,char,1,14.040,0,（2020年）,221.000,True,14.040,260.690,320.570,606.880,620.920,para
5,12.000,475.762,5,463.762,ABCDEE+宋体,12.000,0,char,1,12.000,0,二〇二一年四月,463.762,True,12.000,255.650,267.650,366.158,378.158,para
6,9.000,52.869,0,885.789,ABCDEE+宋体,9.000,0,char,2,9.000,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,True,9.000,170.420,415.990,788.070,797.070,para
7,12.000,96.872,1,926.792,ABCDEE+宋体,12.000,0,char,2,12.000,0,重要提示,84.872,True,12.000,273.530,285.530,745.048,757.048,para
8,10.560,138.549,2,969.909,ABCDEE+宋体,10.560,0,char,2,10.560,0,本公司董事、高级管理人员已对年度报告签署书面确认意见。公司监事会（如有）已,127.989,True,10.560,111.020,121.580,703.371,713.931,para
9,10.560,161.949,3,993.309,ABCDEE+宋体,10.560,0,char,2,10.560,0,对年度报告提出书面审核意见，监事已签署书面确认意见。,151.389,True,10.560,90.024,100.584,679.971,690.531,para
10,10.560,197.109,4,1028.469,ABCDEE+宋体,10.560,0,char,2,10.560,0,本公司及全体董事、监事、高级管理人员保证年度报告内容的真实、准确、完整，不,186.549,True,10.560,111.020,121.580,644.811,655.371,para
11,10.560,212.709,5,1044.069,ABCDEE+宋体,10.560,0,char,2,10.560,0,存在虚假记载、误导性陈述或重大遗漏，并承担相应的法律责任。,202.149,True,10.560,90.024,100.584,629.211,639.771,para
12,10.560,263.349,6,1094.709,ABCDEE+宋体,10.560,0,char,2,10.560,0,北京兴华会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告,252.789,True,10.560,111.020,121.580,578.571,589.131,para
13,10.560,286.779,7,1118.139,ABCDEE+宋体,10.560,0,char,2,10.560,0,。,276.219,True,10.560,90.024,100.584,555.141,565.701,para
14,4.563,792.186,8,1625.106,ABCDEE+Calibri,9.000,0,char,2,9.000,0,2,783.186,True,4.563,295.370,299.933,49.734,58.734,para
15,9.000,52.869,0,1727.709,ABCDEE+宋体,9.000,0,char,3,9.000,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,True,9.000,170.420,415.990,788.070,797.070,para
16,12.000,155.672,1,1827.512,ABCDEE+宋体,12.000,0,char,3,12.000,0,重大风险提示,143.672,True,12.000,261.530,273.530,686.248,698.248,para
17,10.560,197.349,2,1870.629,ABCDEE+宋体,10.560,0,char,3,10.560,0,投资者在评价和购买本期债券时，应认真考虑各项可能对本期债券的偿付、债券价值,186.789,True,10.560,111.020,121.580,644.571,655.131,para
18,10.560,220.749,3,1894.029,ABCDEE+宋体,10.560,0,char,3,10.560,0,判断和投资者权益保护产生重大不利影响的风险因素，并仔细阅读募集说明书中“风险与,210.189,True,10.560,90.024,100.584,621.171,631.731,para
19,10.560,244.149,4,1917.429,ABCDEE+宋体,10.560,0,char,3,10.560,0,对策”章节有关内容。,233.589,True,10.560,90.024,100.584,597.771,608.331,para
20,5.280,267.549,5,1940.829,ABCDEE+宋体,10.560,0,char,3,10.560,0,截至2020年12月31日，公司2020年面临的重大风险与募集说 明书所提示的风险因,256.989,True,5.280,111.020,289.610,574.371,584.931,para
21,10.560,290.979,6,1964.259,ABCDEE+宋体,10.560,0,char,3,10.560,0,素与上一年度无重大变化。,280.419,True,10.560,90.024,100.584,550.941,561.501,para
22,4.563,792.186,7,2467.026,ABCDEE+Calibri,9.000,0,char,3,9.000,0,3,783.186,True,4.563,295.370,299.933,49.734,58.734,para
23,9.000,52.869,0,2569.629,ABCDEE+宋体,9.000,0,char,4,9.000,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,True,9.000,170.420,415.990,788.070,797.070,para
24,14.040,88.020,1,2599.740,ABCDEE+宋体,14.040,0,char,4,14.040,0,目录,73.980,True,14.040,283.610,297.650,753.900,764.951,para
25,10.560,102.189,2,2617.389,ABCDEE+宋体,10.560,0,char,4,10.560,0,重要提示 ........................................................................................................................................... 2,91.629,True,10.560,89.904,100.464,738.580,749.140,para
26,10.560,115.869,3,2631.069,ABCDEE+宋体,10.560,0,char,4,10.560,0,重大风险提示 ................................................................................................................................... 3,105.309,True,10.560,89.904,100.464,724.900,735.460,para
27,10.560,129.429,4,2644.629,ABCDEE+宋体,10.560,0,char,4,10.560,0,释义................................................................................................................................................... 6,118.869,True,10.560,89.904,100.464,711.340,721.900,para
28,10.560,143.109,5,2658.309,ABCDEE+宋体,10.560,0,char,4,10.560,0,第一节 公司及相关中介机构简介 ....................................................................................... 7,132.549,True,10.560,89.904,163.460,697.660,708.220,para
