adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1,cont_num
1.000,252.780,0,234.780,HIMGAO+SimSun,18.000,0,char,1,18.000,0,深圳市资本运营集团有限公司公司债券半年度报告,234.780,para,True,18.000,95.880,113.880,589.220,607.220,
1.000,280.800,1,262.800,HIMGAO+SimSun,18.000,0,char,1,18.000,0,（2021年）,262.800,para,True,18.000,247.080,323.938,561.200,579.200,
0.500,448.522,2,432.502,HIMGAO+SimSun,16.020,0,char,1,16.020,0,2021年08月,432.502,para,True,8.010,248.280,340.784,393.478,409.498,
1.000,82.522,0,908.502,HIMGAO+SimSun,16.020,0,char,2,16.020,0,重要提示,66.502,para,True,16.020,262.440,278.460,759.478,775.498,1
1.000,109.770,1,941.270,HIMFLA+FangSong,10.500,0,char,2,10.500,0,本公司董事、高级管理人员或履行同等职责的人员已对本报告签署书面确认意见。本公司监事会已对本报,99.270,para,True,10.500,63.540,74.040,732.230,742.730,0
1.000,137.730,2,969.230,HIMFLA+FangSong,10.500,0,char,2,10.500,0,告提出书面审核意见，监事已签署书面确认意见。,127.230,para,True,10.500,42.540,53.040,704.270,714.770,0
1.000,165.750,3,997.250,HIMFLA+FangSong,10.500,0,char,2,10.500,0,公司承诺将及时、公平地履行信息披露义务，公司及其全体董事、监事、高级管理人员或履行同等职责的,155.250,para,True,10.500,63.540,74.040,676.250,686.750,0
1.000,193.771,4,1025.271,HIMFLA+FangSong,10.500,0,char,2,10.500,0,人员保证本报告信息披露的真实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏。,183.271,para,True,10.500,42.540,53.040,648.229,658.729,0
0.500,221.731,5,1053.231,HIMFLA+FangSong,10.500,0,char,2,10.500,0,本公司2021年半年度财务报告未经审计。,211.231,para,True,5.250,63.540,131.774,620.269,630.769,0
1.000,82.522,0,1750.502,HIMGAO+SimSun,16.020,0,char,3,16.020,0,重大风险提示,66.502,para,True,16.020,246.360,262.380,759.478,775.498,1
1.000,109.770,1,1783.270,HIMFLA+FangSong,10.500,0,char,3,10.500,0,投资者参与投资本公司发行的公司债券时，应认真考虑各项可能对公司债券的偿付、价值判断和投资者权,99.270,para,True,10.500,63.540,74.040,732.230,742.730,0
1.000,137.730,2,1811.230,HIMFLA+FangSong,10.500,0,char,3,10.500,0,益保护产生重大不利影响的风险因素。,127.230,para,True,10.500,42.540,53.040,704.270,714.770,0
1.000,165.750,3,1839.250,HIMFLA+FangSong,10.500,0,char,3,10.500,0,截至本报告期末，公司面临的风险因素与募集说明书所披露的重大风险相比无重大变化，请投资者仔细阅,155.250,para,True,10.500,63.540,74.040,676.250,686.750,0
1.000,193.771,4,1867.271,HIMFLA+FangSong,10.500,0,char,3,10.500,0,读募集说明书中的“风险因素”等有关章节。,183.271,para,True,10.500,42.540,53.040,648.229,658.729,0
1.000,101.160,1,2618.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,重要提示,92.160,para,True,9.000,42.540,51.540,740.840,749.840,0
1.000,116.760,3,2633.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,重大风险提示,107.760,para,True,9.000,42.540,51.540,725.240,734.240,0
1.000,132.360,5,2649.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,释义,123.360,para,True,9.000,42.540,51.540,709.640,718.640,1
1.000,147.960,7,2664.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第一节 公司基本情况,138.960,para,True,9.000,42.540,51.540,694.040,703.040,1
1.000,163.560,9,2680.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、公司基本信息,154.560,para,True,9.000,63.540,72.540,678.440,687.440,2
1.000,179.160,11,2696.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、信息披露事务负责人基本信息,170.160,para,True,9.000,63.540,72.540,662.840,671.840,2
1.000,194.760,13,2711.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、报告期内控股股东、实际控制人的变更情况,185.760,para,True,9.000,63.540,72.540,647.240,656.240,2
1.000,210.360,15,2727.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况,201.360,para,True,9.000,63.540,72.540,631.640,640.640,2
1.000,225.960,17,2742.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、公司独立性情况,216.960,para,True,9.000,63.540,72.540,616.040,625.040,2
1.000,241.560,19,2758.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,六、公司合规性情况,232.560,para,True,9.000,63.540,72.540,600.440,609.440,2
1.000,257.160,21,2774.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,七、公司业务及经营情况,248.160,para,True,9.000,63.540,72.540,584.840,593.840,2
1.000,272.760,23,2789.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第二节 公司信用类债券基本情况,263.760,para,True,9.000,42.540,51.540,569.240,578.240,1
1.000,288.360,25,2805.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、公司信用类债券基本信息,279.360,para,True,9.000,63.540,72.540,553.640,562.640,2
1.000,303.960,27,2820.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、公司债券募集资金使用情况,294.960,para,True,9.000,63.540,72.540,538.040,547.040,2
1.000,319.560,29,2836.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、报告期内公司债券募集资金用途变更情况,310.560,para,True,9.000,63.540,72.540,522.440,531.440,2
1.000,335.160,31,2852.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内公司信用类债券评级调整情况,326.160,para,True,9.000,63.540,72.540,506.840,515.840,2
1.000,350.760,33,2867.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、增信措施情况,341.760,para,True,9.000,63.540,72.540,491.240,500.240,2
1.000,366.360,35,2883.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第三节 报告期内重要事项,357.360,para,True,9.000,42.540,51.540,475.640,484.640,1
1.000,381.960,37,2898.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、审计情况,372.960,para,True,9.000,63.540,72.540,460.040,469.040,2
1.000,397.560,39,2914.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、会计政策、会计估计变更和重大会计差错更正情况,388.560,para,True,9.000,63.540,72.540,444.440,453.440,2
1.000,413.160,41,2930.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、合并报表范围变化情况,404.160,para,True,9.000,63.540,72.540,428.840,437.840,2
1.000,428.760,43,2945.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、报告期内亏损情况,419.760,para,True,9.000,63.540,72.540,413.240,422.240,2
1.000,444.360,45,2961.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、资产受限情况,435.360,para,True,9.000,63.540,72.540,397.640,406.640,2
1.000,459.960,47,2976.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,六、可对抗第三人的优先偿付负债情况,450.960,para,True,9.000,63.540,72.540,382.040,391.040,2
1.000,475.560,49,2992.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,七、资金占款情况,466.560,para,True,9.000,63.540,72.540,366.440,375.440,2
1.000,491.160,51,3008.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,八、有息负债逾期和变动情况,482.160,para,True,9.000,63.540,72.540,350.840,359.840,2
1.000,506.760,53,3023.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,九、对外担保情况,497.760,para,True,9.000,63.540,72.540,335.240,344.240,2
1.000,522.360,55,3039.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,十、重大未决诉讼情况,513.360,para,True,9.000,63.540,72.540,319.640,328.640,2
1.000,537.960,57,3054.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,十一、信息披露事务管理制度变更情况,528.960,para,True,9.000,63.540,72.540,304.040,313.040,2
1.000,553.560,59,3070.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第四节 创新债券特别事项,544.560,para,True,9.000,42.540,51.540,288.440,297.440,1
1.000,569.160,61,3086.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、发行人为可交换债券发行人,560.160,para,True,9.000,63.540,72.540,272.840,281.840,2
1.000,584.760,63,3101.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,二、发行人为绿色公司债券发行人,575.760,para,True,9.000,63.540,72.540,257.240,266.240,2
1.000,600.360,65,3117.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,三、发行人为可续期公司债券发行人,591.360,para,True,9.000,63.540,72.540,241.640,250.640,2
1.000,615.960,67,3132.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,四、发行人为扶贫公司债券发行人,606.960,para,True,9.000,63.540,72.540,226.040,235.040,2
1.000,631.560,69,3148.560,HIMGAO+SimSun,9.000,0,char,4,9.000,0,五、发行人为一带一路公司债券发行人,622.560,para,True,9.000,63.540,72.540,210.440,219.440,2
1.000,647.160,71,3164.160,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第五节 向普通投资者披露的信息,638.160,para,True,9.000,42.540,51.540,194.840,203.840,1
1.000,662.760,73,3179.760,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第六节 财务报告,653.760,para,True,9.000,42.540,51.540,179.240,188.240,1
1.000,678.360,75,3195.360,HIMGAO+SimSun,9.000,0,char,4,9.000,0,一、财务报表,669.360,para,True,9.000,63.540,72.540,163.640,172.640,2
1.000,693.960,77,3210.960,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第七节 发行人认为应当披露的其他事项,684.960,para,True,9.000,42.540,51.540,148.040,157.040,1
0.500,709.560,79,3225.270,HIMGAO+SimSun,9.000,0,char,4,9.000,0,第八节 备查文件,699.270,para,True,5.250,42.540,546.331,132.230,142.730,1
1.000,82.462,0,3434.442,HIMGAO+SimSun,16.020,0,char,5,16.020,0,释义,66.442,para,True,16.020,278.520,294.540,759.538,775.558,0
1.000,145.350,1,3502.850,HIMFLA+FangSong,10.500,0,char,5,10.500,0,释义内容,134.850,para,True,10.500,410.460,420.960,696.650,707.150,0
1.000,166.770,2,3524.270,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司，曾用名：深圳市远致,156.270,para,True,10.500,310.680,321.180,675.230,685.730,0
1.000,180.390,4,3537.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,投资有限公司,169.890,para,True,10.500,310.680,321.180,661.610,672.110,0
0.500,195.030,5,3552.530,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市远致投资有限公司2018年面向合格投资者公,184.530,para,True,5.250,310.680,462.963,646.970,657.470,0
1.000,208.649,7,3566.149,HIMFLA+FangSong,10.500,0,char,5,10.500,0,开发行公司债券（第一期）,198.149,para,True,10.500,310.680,321.180,633.351,643.851,0
0.500,223.290,8,3580.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2020年面向合格投资,212.790,para,True,5.250,310.680,483.899,618.710,629.210,0
1.000,236.909,10,3594.409,HIMFLA+FangSong,10.500,0,char,5,10.500,0,者公开发行公司债券（第一期）,226.409,para,True,10.500,310.680,321.180,605.091,615.591,0
0.500,251.550,11,3609.050,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2021年面向专业投资,241.050,para,True,5.250,310.680,483.899,590.450,600.950,0
1.000,265.169,13,3622.669,HIMFLA+FangSong,10.500,0,char,5,10.500,0,者公开发行公司债券（第一期）,254.669,para,True,10.500,310.680,321.180,576.831,587.331,0
0.500,279.750,14,3637.250,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市资本运营集团有限公司2020年度第一期中期,269.250,para,True,5.250,310.680,483.899,562.250,572.750,0
1.000,293.370,16,3650.870,HIMFLA+FangSong,10.500,0,char,5,10.500,0,票据,282.870,para,True,10.500,310.680,321.180,548.630,559.130,0
0.500,307.650,17,3665.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,指《深圳市资本运营集团有限公司2020年度第一期,297.150,para,True,5.250,310.680,504.937,534.350,544.850,0
1.000,321.270,18,3678.770,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中期票据募集说明书》、《深圳市资本运营集团有限公,310.770,para,True,10.500,310.680,321.180,520.730,531.230,0
0.500,334.889,19,3692.389,HIMFLA+FangSong,10.500,0,char,5,10.500,0,司2021年面向专业投资者公开发行公司债券（第一,324.389,para,True,5.250,310.680,358.012,507.111,517.611,0
1.000,348.509,20,3706.009,HIMFLA+FangSong,10.500,0,char,5,10.500,0,期）募集说明书》、《深圳市资本运营集团有限公司,338.009,para,True,10.500,310.680,321.180,493.491,503.991,0
0.500,362.128,22,3719.628,HIMFLA+FangSong,10.500,0,char,5,10.500,0,2020年面向合格投资者公开发行公司债券（第一,351.628,para,True,5.250,310.682,344.861,479.872,490.372,0
1.000,375.748,23,3733.248,HIMFLA+FangSong,10.500,0,char,5,10.500,0,期）募集说明书》及《深圳市远致投资有限公司,365.248,para,True,10.500,310.682,321.182,466.252,476.752,0
0.500,389.367,24,3746.867,HIMFLA+FangSong,10.500,0,char,5,10.500,0,2018年面向合格投资者公开发行公司债券(第一期),378.867,para,True,5.250,310.682,344.861,452.633,463.133,0
1.000,402.987,25,3760.487,HIMFLA+FangSong,10.500,0,char,5,10.500,0,募集说明书》,392.487,para,True,10.500,310.682,321.182,439.013,449.513,0
1.000,424.050,26,3781.550,HIMFLA+FangSong,10.500,0,char,5,10.500,0,万和证券股份有限公司,413.550,para,True,10.500,310.680,321.180,417.950,428.450,0
1.000,452.250,27,3809.750,HIMFLA+FangSong,10.500,0,char,5,10.500,0,国信证券股份有限公司,441.750,para,True,10.500,310.680,321.180,389.750,400.250,0
1.000,473.310,28,3830.810,HIMFLA+FangSong,10.500,0,char,5,10.500,0,本公司根据有关法律、法规为发行公司债券而制作的,462.810,para,True,10.500,310.680,321.180,368.690,379.190,0
0.500,486.930,29,3844.430,HIMFLA+FangSong,10.500,0,char,5,10.500,0,《深圳市资本运营集团有限公司公司债券2021年半,476.430,para,True,5.250,310.680,536.388,355.070,365.570,0
1.000,500.549,30,3858.049,HIMFLA+FangSong,10.500,0,char,5,10.500,0,年度报告》,490.049,para,True,10.500,310.680,321.180,341.451,351.951,0
1.000,521.610,31,3879.110,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中国证券监督管理委员会,511.110,para,True,10.500,310.680,321.180,320.390,330.890,0
1.000,549.870,32,3907.370,HIMFLA+FangSong,10.500,0,char,5,10.500,0,天职国际会计师事务所（特殊普通合伙）,539.370,para,True,10.500,310.680,321.180,292.130,302.630,0
1.000,571.290,33,3928.790,HIMFLA+FangSong,10.500,0,char,5,10.500,0,中诚信证券评估有限公司，或中诚信国际信用评级有,560.790,para,True,10.500,310.680,321.180,270.710,281.210,0
1.000,584.910,35,3942.410,HIMFLA+FangSong,10.500,0,char,5,10.500,0,限责任公司,574.410,para,True,10.500,310.680,321.180,257.090,267.590,0
1.000,606.390,36,3963.890,HIMFLA+FangSong,10.500,0,char,5,10.500,0,深圳市人民政府国有资产监督管理委员会,595.890,para,True,10.500,310.680,321.180,235.610,246.110,0
1.000,634.650,37,3992.150,HIMFLA+FangSong,10.500,0,char,5,10.500,0,元人民币/万元人民币/亿元人民币,624.150,para,True,10.500,310.684,321.184,207.350,217.850,0
1.000,667.530,38,4025.030,HIMFLA+FangSong,10.500,0,char,5,10.500,0,注：本报告中，部分合计数与各加数直接相加之和因四舍五入在尾数上略有差异，并非计算错误。,657.030,para,True,10.500,42.540,53.040,174.470,184.970,0
1.000,82.522,0,4276.502,HIMGAO+SimSun,16.020,0,char,6,16.020,0,第一节 公司基本情况,66.502,para,True,16.020,218.280,234.300,759.478,775.498,2
1.000,109.980,1,4307.980,HIMIJC+SimHei,12.000,0,char,6,12.000,0,一、公司基本信息,97.980,para,True,12.000,42.540,54.540,732.020,744.020,3
1.000,507.240,14,4705.240,HIMIJC+SimHei,12.000,0,char,6,12.000,0,二、信息披露事务负责人基本信息,495.240,para,True,12.000,42.540,54.540,334.760,346.760,3
1.000,81.960,0,5121.960,HIMIJC+SimHei,12.000,0,char,7,12.000,,三、报告期内控股股东、实际控制人的变更情况,69.960,para,True,12.000,42.540,54.540,760.040,772.040,3
1.000,109.770,1,5151.270,HIMFLA+FangSong,10.500,0,char,7,10.500,0,（一） 报告期末控股股东、实际控制人,99.270,para,True,10.500,42.540,53.040,732.230,742.730,4
1.000,137.730,2,5179.230,HIMFLA+FangSong,10.500,0,char,7,10.500,0,报告期末控股股东姓名/名称：深圳市人民政府国有资产监督管理委员会,127.230,para,True,10.500,63.540,74.040,704.270,714.770,0
1.000,165.750,3,5207.250,HIMFLA+FangSong,10.500,0,char,7,10.500,0,报告期末实际控制人姓名/名称：深圳市人民政府国有资产监督管理委员会,155.250,para,True,10.500,63.540,74.040,676.250,686.750,0
1.000,193.771,4,5235.271,HIMFLA+FangSong,10.500,0,char,7,10.500,0,（二） 控股股东、实际控制人的变更情况,183.271,para,True,10.500,42.540,53.040,648.229,658.729,4
0.500,221.731,5,5263.231,HIMFLA+FangSong,10.500,0,char,7,10.500,0,1．控股股东变更情况,211.231,para,True,5.250,42.540,47.790,620.269,630.769,0
1.000,249.752,6,5291.252,HIMFLA+FangSong,10.500,0,char,7,10.500,0,报告期内，本公司控股股东未发生变更。,239.252,para,True,10.500,63.540,74.040,592.248,602.748,0
0.500,291.991,7,5333.491,HIMFLA+FangSong,10.500,0,char,7,10.500,0,2．实际控制人变更情况,281.491,para,True,5.250,42.540,47.790,550.009,560.509,0
1.000,319.951,8,5361.451,HIMFLA+FangSong,10.500,0,char,7,10.500,0,报告期内，本公司实际控制人未发生变更。,309.451,para,True,10.500,63.540,74.040,522.049,532.549,0
1.000,348.180,9,5388.180,HIMIJC+SimHei,12.000,0,char,7,12.000,0,四、报告期内董事、监事、高级管理人员或履行同等职责人员的变更情况,336.180,para,True,12.000,42.540,54.540,493.820,505.820,3
