,adv,bottom,cod,cont_num,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1
0,1.000,252.780,0,,234.780,HIMGAO+SimSun,18.000,0,char,1,18.000,0,深圳市资本运营集团有限公司公司债券半年度报告,234.780,para,True,18.000,95.880,113.880,589.220,607.220
1,1.000,280.800,1,,262.800,HIMGAO+SimSun,18.000,0,char,1,18.000,0,（2021年）,262.800,para,True,18.000,247.080,323.938,561.200,579.200
2,0.500,448.522,2,,432.502,HIMGAO+SimSun,16.020,0,char,1,16.020,0,2021年08月,432.502,para,True,8.010,248.280,340.784,393.478,409.498
3,1.000,82.522,0,1,908.502,HIMGAO+SimSun,16.020,0,char,2,16.020,0,重要提示,66.502,para,True,16.020,262.440,278.460,759.478,775.498
4,1.000,109.770,1,0,941.270,HIMFLA+FangSong,10.500,0,char,2,10.500,0,本公司董事、高级管理人员或履行同等职责的人员已对本报告签署书面确认意见。本公司监事会已对本报,99.270,para,True,10.500,63.540,74.040,732.230,742.730
5,1.000,137.730,2,0,969.230,HIMFLA+FangSong,10.500,0,char,2,10.500,0,告提出书面审核意见，监事已签署书面确认意见。,127.230,para,True,10.500,42.540,53.040,704.270,714.770
6,1.000,165.750,3,0,997.250,HIMFLA+FangSong,10.500,0,char,2,10.500,0,公司承诺将及时、公平地履行信息披露义务，公司及其全体董事、监事、高级管理人员或履行同等职责的,155.250,para,True,10.500,63.540,74.040,676.250,686.750
7,1.000,193.771,4,0,1025.271,HIMFLA+FangSong,10.500,0,char,2,10.500,0,人员保证本报告信息披露的真实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏。,183.271,para,True,10.500,42.540,53.040,648.229,658.729
8,0.500,221.731,5,0,1053.231,HIMFLA+FangSong,10.500,0,char,2,10.500,0,本公司2021年半年度财务报告未经审计。,211.231,para,True,5.250,63.540,131.774,620.269,630.769
9,1.000,82.522,0,1,1750.502,HIMGAO+SimSun,16.020,0,char,3,16.020,0,重大风险提示,66.502,para,True,16.020,246.360,262.380,759.478,775.498
10,1.000,109.770,1,0,1783.270,HIMFLA+FangSong,10.500,0,char,3,10.500,0,投资者参与投资本公司发行的公司债券时，应认真考虑各项可能对公司债券的偿付、价值判断和投资者权,99.270,para,True,10.500,63.540,74.040,732.230,742.730
11,1.000,137.730,2,0,1811.230,HIMFLA+FangSong,10.500,0,char,3,10.500,0,益保护产生重大不利影响的风险因素。,127.230,para,True,10.500,42.540,53.040,704.270,714.770
12,1.000,165.750,3,0,1839.250,HIMFLA+FangSong,10.500,0,char,3,10.500,0,截至本报告期末，公司面临的风险因素与募集说明书所披露的重大风险相比无重大变化，请投资者仔细阅,155.250,para,True,10.500,63.540,74.040,676.250,686.750
13,1.000,193.771,4,0,1867.271,HIMFLA+FangSong,10.500,0,char,3,10.500,0,读募集说明书中的“风险因素”等有关章节。,183.271,para,True,10.500,42.540,53.040,648.229,658.729
14,1.000,82.440,0,1,2590.440,HIMGAO+SimSun,18.000,0,char,4,18.000,0,目录,64.440,cont,True,18.000,276.480,294.480,759.560,770.155
