,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,upright,width,x0,x1,y0,y1,type,
0,5.28,49.009,0,879.449,,10.56,0,char,2,10.56,0,2016年重庆两江新区开发投资集团有限公司公司债券募集说明书,38.449,TRUE,5.28,208.97,243.17,792.239,802.799,para,页眉
1,14.04,93.92,1,920.88,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,声明及提示,79.88,TRUE,14.04,261.89,275.93,747.067,761.107,para,其它
2,14.04,121.16,2,948.12,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,一、发行人董事会声明,107.12,TRUE,14.04,117.98,132.02,719.827,733.867,para,其它
3,14.04,148.4,3,975.36,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,发行人董事会已批准本募集说明书及其摘要，发行人全体董事承,134.36,TRUE,14.04,117.86,131.9,693.64,707.68,para,其它
4,14.04,175.64,4,1002.6,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,诺其中不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准,161.6,TRUE,14.04,89.904,103.944,666.4,680.44,para,其它
5,14.04,202.88,5,1029.84,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,确性、完整性承担个别和连带的法律责任。,188.84,TRUE,14.04,89.904,103.944,638.107,652.147,para,其它
6,14.04,230.12,6,1057.08,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,二、发行人相关负责人声明,216.08,TRUE,14.04,117.98,132.02,610.867,624.907,para,其它
7,14.04,257.36,7,1084.32,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,企业负责人和主管会计工作的负责人、会计部门负责人保证本募,243.32,TRUE,14.04,117.86,131.9,584.68,598.72,para,其它
8,14.04,284.63,8,1111.59,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,集说明书及其摘要中财务报告真实、完整。,270.59,TRUE,14.04,89.904,103.944,556.357,570.397,para,其它
9,14.04,311.87,9,1138.83,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,三、主承销商声明,297.83,TRUE,14.04,117.98,132.02,529.117,543.157,para,其它
10,14.04,339.11,10,1166.07,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,本期债券主承销商已按照有关法律、法规的要求，履行了勤勉尽,325.07,TRUE,14.04,117.86,131.9,502.93,516.97,para,其它
11,14.04,366.35,11,1193.31,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,责的义务。,352.31,TRUE,14.04,89.904,103.944,474.637,488.677,para,其它
12,14.04,393.47,12,1220.43,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,四、信用承诺声明,379.43,TRUE,14.04,117.98,132.02,447.517,461.557,para,其它
13,14.04,420.71,13,1247.67,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,发行人及本期债券主承销商、审计机构、发行人律师、信用评级,406.67,TRUE,14.04,117.86,131.9,421.33,435.37,para,其它
14,14.04,447.97,14,1274.93,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,机构已为本期债券发行出具了信用承诺书，承诺将依据《中华人民共,433.93,TRUE,14.04,89.904,103.944,394.07,408.11,para,其它
15,14.04,475.21,15,1302.17,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,和国证券法》、《企业债券管理条例》、《国家发展改革委办公厅关于进,461.17,TRUE,14.04,89.904,103.944,366.83,380.87,para,其它
16,14.04,502.45,16,1329.41,b'ABCDEE+\xb7\xc2\xcb\xce',14.04,0,char,2,14.04,0,一步改进和加强企业债券管理工作的通知》等相关法律、法规和规定,488.41,TRUE,14.04,89.904,103.944,339.59,353.63,para,其它
