,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,type,upright,width,x0,x1,y0,y1,continue
0,1,207.277,0,187.297,ZWIVFZ+FangSong,19.98,[0],char,1,19.98,[0],宁夏国有资本运营集团有限责任公司,187.297,para,TRUE,19.98,136.98,156.96,634.643,654.623,0
1,1,238.477,1,218.497,ZWIVFZ+FangSong,19.98,[0],char,1,19.98,[0],公司债券,218.497,para,TRUE,19.98,257.46,277.44,603.443,623.423,0
2,1,269.677,2,249.697,ZWIVFZ+FangSong,19.98,[0],char,1,19.98,[0],年度受托管理事务报告,249.697,para,TRUE,19.98,219.72,239.7,572.243,592.223,0
3,0.25,272.953,3,252.973,TimesNewRomanPS-BoldMT,19.98,[0],char,1,19.98,,2020,252.973,para,TRUE,4.995,174.723,425.535,568.958,588.947,0
4,1,407.987,4,391.967,ZWIVFZ+FangSong,16.02,[0],char,1,16.02,[0],宁夏国有资本运营集团有限责任公司,391.967,para,TRUE,16.02,169.14,185.16,431.305,447.325,0
5,1,433.188,5,421.188,ZWIVFZ+FangSong,12,[0],char,1,12,,（宁夏银川市广场东路219号建材大厦）,421.188,para,TRUE,12,192.66,204.66,407.016,419.016,0
6,1,579.587,6,563.567,ZWIVFZ+FangSong,16.02,[0],char,1,16.02,,债券受托管理人,563.567,para,TRUE,16.02,241.62,257.64,260.042,276.062,0
7,1,651.588,7,639.588,ZWIVFZ+FangSong,12,[0],char,1,12,,北京市朝阳区安立路66号4号楼,639.588,para,TRUE,12,216.66,228.66,188.616,200.616,0
8,1,679.933,8,665.953,ZWIVFZ+FangSong,13.98,[0],char,1,13.98,,二〇二一年六月,665.953,para,TRUE,13.98,248.64,262.62,159.988,173.968,0
9,1,97.032,0,920.952,ZWIVFZ+FangSong,18,[0],char,2,18,[0],重要声明,79.032,para,TRUE,18,261.54,279.54,741.936,759.936,0
10,1,152.388,1,982.308,ZWIVFZ+FangSong,12,[0],char,2,12,,本报告依据《公司债券发行与交易管理办法》（以下简称《管理办法》）、,140.388,para,TRUE,12,114,126,689.532,701.532,1
