,adv,bottom,cod,doctop,fontname,height,non_stroking_color,object_type,page_number,size,stroking_color,text,top,upright,width,x0,x1,y0,y1,type,
0,0.534,52.162,0,51.202,Arial,0.96,0.2,char,1,0.96,0.2,0,51.202,TRUE,0.534,504.94,505.474,789.758,790.718,para,页眉
1,6.643,54.052,1,44.092,Arial,9.96,0.2,char,1,9.96,0.2,B,44.092,TRUE,6.643,498.34,504.983,787.868,797.828,para,页眉
2,15.96,173.51,2,157.55,ABCDEE+黑体,15.96,0,char,1,15.96,0,开远市兴远开发投资集团有限公司,157.55,TRUE,15.96,177.14,193.1,668.41,684.37,para,封面
3,14.04,203.84,3,189.8,ABCDEE+黑体,14.04,0,char,1,14.04,0,公司债券年度报告,189.8,TRUE,14.04,241.49,255.53,638.08,652.12,para,封面
4,14.04,235.04,4,221,ABCDEE+宋体,14.04,0,char,1,14.04,0,（2020年）,221,TRUE,14.04,260.69,320.57,606.88,620.92,para,封面
5,12,475.762,5,463.762,ABCDEE+宋体,12,0,char,1,12,0,二〇二一年四月,463.762,TRUE,12,255.65,267.65,366.158,378.158,para,封面
6,9,52.869,0,885.789,ABCDEE+宋体,9,0,char,2,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
7,12,96.872,1,926.792,ABCDEE+宋体,12,0,char,2,12,0,重要提示,84.872,TRUE,12,273.53,285.53,745.048,757.048,para,标题1
8,10.56,138.549,2,969.909,ABCDEE+宋体,10.56,0,char,2,10.56,0,本公司董事、高级管理人员已对年度报告签署书面确认意见。公司监事会（如有）已,127.989,TRUE,10.56,111.02,121.58,703.371,713.931,para,正文
9,10.56,161.949,3,993.309,ABCDEE+宋体,10.56,0,char,2,10.56,0,对年度报告提出书面审核意见，监事已签署书面确认意见。,151.389,TRUE,10.56,90.024,100.584,679.971,690.531,para,正文
10,10.56,197.109,4,1028.469,ABCDEE+宋体,10.56,0,char,2,10.56,0,本公司及全体董事、监事、高级管理人员保证年度报告内容的真实、准确、完整，不,186.549,TRUE,10.56,111.02,121.58,644.811,655.371,para,正文
11,10.56,212.709,5,1044.069,ABCDEE+宋体,10.56,0,char,2,10.56,0,存在虚假记载、误导性陈述或重大遗漏，并承担相应的法律责任。,202.149,TRUE,10.56,90.024,100.584,629.211,639.771,para,正文
12,10.56,263.349,6,1094.709,ABCDEE+宋体,10.56,0,char,2,10.56,0,北京兴华会计师事务所（特殊普通合伙）为本公司出具了标准无保留意见的审计报告,252.789,TRUE,10.56,111.02,121.58,578.571,589.131,para,正文
13,10.56,286.779,7,1118.139,ABCDEE+宋体,10.56,0,char,2,10.56,0,。,276.219,TRUE,10.56,90.024,100.584,555.141,565.701,para,正文
14,4.563,792.186,8,1625.106,ABCDEE+Calibri,9,0,char,2,9,0,2,783.186,TRUE,4.563,295.37,299.933,49.734,58.734,para,页脚
15,9,52.869,0,1727.709,ABCDEE+宋体,9,0,char,3,9,0,开远市兴远开发投资集团有限公司公司债券年度报告（2020年）,43.869,TRUE,9,170.42,415.99,788.07,797.07,para,页眉
16,12,155.672,1,1827.512,ABCDEE+宋体,12,0,char,3,12,0,重大风险提示,143.672,TRUE,12,261.53,273.53,686.248,698.248,para,标题1
17,10.56,197.349,2,1870.629,ABCDEE+宋体,10.56,0,char,3,10.56,0,投资者在评价和购买本期债券时，应认真考虑各项可能对本期债券的偿付、债券价值,186.789,TRUE,10.56,111.02,121.58,644.571,655.131,para,正文
18,10.56,220.749,3,1894.029,ABCDEE+宋体,10.56,0,char,3,10.56,0,判断和投资者权益保护产生重大不利影响的风险因素，并仔细阅读募集说明书中“风险与,210.189,TRUE,10.56,90.024,100.584,621.171,631.731,para,正文
19,10.56,244.149,4,1917.429,ABCDEE+宋体,10.56,0,char,3,10.56,0,对策”章节有关内容。,233.589,TRUE,10.56,90.024,100.584,597.771,608.331,para,正文
20,5.28,267.549,5,1940.829,ABCDEE+宋体,10.56,0,char,3,10.56,0,截至2020年12月31日，公司2020年面临的重大风险与募集说 明书所提示的风险因,256.989,TRUE,5.28,111.02,289.61,574.371,584.931,para,正文
21,10.56,290.979,6,1964.259,ABCDEE+宋体,10.56,0,char,3,10.56,0,素与上一年度无重大变化。,280.419,TRUE,10.56,90.024,100.584,550.941,561.501,para,正文
