adv,bottom,cod,doctop,height,non_stroking_color,page_number,size,stroking_color,top,width,x0,x1,y0,y1,len_str,is_mulu,is_biaoti,is_ymyj,text
0.5,54.51,0.0,44.01,10.5,0.0,1.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,252.78,1.0,234.78,18.0,0.0,1.0,18.0,0.0,234.78,18.0,95.88,113.88,589.22,607.22,22,0,0,2,深圳市资本运营集团有限公司公司债券半年度报告
1.0,280.8,2.0,262.8,18.0,0.0,1.0,18.0,0.0,262.8,18.0,247.08,323.938,561.2,579.2,7,0,0,2,（2021年）
0.5,448.522,3.0,432.502,16.02,0.0,1.0,16.02,0.0,432.502,8.01,248.28,340.784,393.478,409.498,8,0,0,2,2021年08月
0.5,790.83,6.0,780.33,10.5,0.0,1.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,1
0.5,54.51,0.0,886.01,10.5,0.0,2.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,82.522,1.0,908.502,16.02,0.0,2.0,16.02,0.0,66.502,16.02,262.44,278.46,759.478,775.498,4,0,0,2,重要提示
1.0,109.77,2.0,941.27,10.5,0.0,2.0,10.5,0.0,99.27,10.5,63.54,74.04,732.23,742.73,46,0,0,2,本公司董事、高级管理人员或履行同等职责的人员已对本报告签署书面确认意见。本公司监事会已对本报
1.0,137.73,3.0,969.23,10.5,0.0,2.0,10.5,0.0,127.23,10.5,42.54,53.04,704.27,714.77,22,0,0,2,告提出书面审核意见，监事已签署书面确认意见。
1.0,165.75,4.0,997.25,10.5,0.0,2.0,10.5,0.0,155.25,10.5,63.54,74.04,676.25,686.75,46,0,0,2,公司承诺将及时、公平地履行信息披露义务，公司及其全体董事、监事、高级管理人员或履行同等职责的
1.0,193.771,5.0,1025.271,10.5,0.0,2.0,10.5,0.0,183.271,10.5,42.54,53.04,648.229,658.729,40,0,0,2,人员保证本报告信息披露的真实、准确、完整，不存在虚假记载、误导性陈述或重大遗漏。
0.5,221.731,6.0,1053.231,10.5,0.0,2.0,10.5,0.0,211.231,5.25,63.54,131.774,620.269,630.769,20,0,0,2,本公司2021年半年度财务报告未经审计。
0.5,790.83,9.0,1622.33,10.5,0.0,2.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,2
0.5,54.51,0.0,1728.01,10.5,0.0,3.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,82.522,1.0,1750.502,16.02,0.0,3.0,16.02,0.0,66.502,16.02,246.36,262.38,759.478,775.498,6,0,0,2,重大风险提示
1.0,109.77,2.0,1783.27,10.5,0.0,3.0,10.5,0.0,99.27,10.5,63.54,74.04,732.23,742.73,46,0,0,2,投资者参与投资本公司发行的公司债券时，应认真考虑各项可能对公司债券的偿付、价值判断和投资者权
1.0,137.73,3.0,1811.23,10.5,0.0,3.0,10.5,0.0,127.23,10.5,42.54,53.04,704.27,714.77,17,0,0,2,益保护产生重大不利影响的风险因素。
1.0,165.75,4.0,1839.25,10.5,0.0,3.0,10.5,0.0,155.25,10.5,63.54,74.04,676.25,686.75,46,0,0,2,截至本报告期末，公司面临的风险因素与募集说明书所披露的重大风险相比无重大变化，请投资者仔细阅
1.0,193.771,5.0,1867.271,10.5,0.0,3.0,10.5,0.0,183.271,10.5,42.54,53.04,648.229,658.729,20,0,0,2,读募集说明书中的“风险因素”等有关章节。
0.5,790.83,8.0,2464.33,10.5,0.0,3.0,10.5,0.0,780.33,5.25,294.96,300.21,51.17,61.67,1,0,0,1,3
0.5,54.51,0.0,2570.01,10.5,0.0,4.0,10.5,0.0,44.01,5.25,163.74,379.01,787.49,797.99,27,0,0,0,深圳市资本运营集团有限公司公司债券2021年半年度报告
1.0,82.44,1.0,2590.44,18.0,0.0,4.0,18.0,0.0,64.44,18.0,276.48,294.48,759.56,770.155,2,0,0,2,目录
1.0,101.16,3.0,2618.16,9.0,0.0,4.0,9.0,0.0,92.16,9.0,42.54,51.54,740.84,749.84,4,0,0,2,重要提示
1.0,101.16,4.0,2618.16,9.0,0.0,4.0,9.0,0.0,92.16,9.0,42.54,51.54,739.675,749.84,204,1,0,2,重要提示 ..................................................................................................................................................................................................... 2
1.0,116.76,5.0,2633.76,9.0,0.0,4.0,9.0,0.0,107.76,9.0,42.54,51.54,725.24,734.24,6,0,0,2,重大风险提示
1.0,116.76,6.0,2633.76,9.0,0.0,4.0,9.0,0.0,107.76,9.0,42.54,51.54,724.075,734.24,198,1,0,2,重大风险提示 ............................................................................................................................................................................................. 3
1.0,132.36,7.0,2649.36,9.0,0.0,4.0,9.0,0.0,123.36,9.0,42.54,51.54,709.64,718.64,2,0,0,2,释义
1.0,132.36,8.0,2649.36,9.0,0.0,4.0,9.0,0.0,123.36,9.0,42.54,51.54,708.475,718.64,210,1,0,2,释义 ............................................................................................................................................................................................................. 5
1.0,147.96,9.0,2664.96,9.0,0.0,4.0,9.0,0.0,138.96,9.0,42.54,51.54,694.04,703.04,10,0,0,2,第一节 公司基本情况
1.0,147.96,10.0,2664.96,9.0,0.0,4.0,9.0,0.0,138.96,9.0,42.54,51.54,692.875,703.04,188,1,0,2,第一节 公司基本情况 ............................................................................................................................................................................... 6
1.0,163.56,11.0,2680.56,9.0,0.0,4.0,9.0,0.0,154.56,9.0,63.54,72.54,678.44,687.44,8,0,1,2,一、公司基本信息
1.0,163.56,12.0,2680.56,9.0,0.0,4.0,9.0,0.0,154.56,9.0,63.54,72.54,677.275,687.44,183,1,1,2,一、公司基本信息 ............................................................................................................................................................................ 6
1.0,179.16,13.0,2696.16,9.0,0.0,4.0,9.0,0.0,170.16,9.0,63.54,72.54,662.84,671.84,15,0,1,2,二、信息披露事务负责人基本信息
1.0,179.16,14.0,2696.16,9.0,0.0,4.0,9.0,0.0,170.16,9.0,63.54,72.54,661.675,671.84,162,1,1,2,二、信息披露事务负责人基本信息 ................................................................................................................................................ 6
